LapNumber,Driver,DriverNumber,Team,Position,LapTime,IsPersonalBest,Sector1Time,Sector2Time,Sector3Time,Compound,PitInTime,PitOutTime,PitStopDuration,FinishingPosition,GridPosition,FinalStatus,Season,RaceName,RaceType
1.0,LEC,16,Ferrari,1.0,,False,,0 days 00:00:46.389000,,MEDIUM,0 days 00:56:45.433000,0 days 01:36:03.182000,0 days 00:39:17.749000,,,,2024,GP Monaco,historica
2.0,LEC,16,Ferrari,1.0,,False,0 days 00:00:26.854000,0 days 00:00:41.743000,,HARD,,,,,,,2024,GP Monaco,historica
3.0,LEC,16,Ferrari,1.0,0 days 00:01:24.624000,True,0 days 00:00:24.007000,0 days 00:00:38.235000,0 days 00:00:22.382000,HARD,,,,,,,2024,GP Monaco,historica
4.0,LEC,16,Ferrari,1.0,0 days 00:01:22.625000,True,0 days 00:00:21.892000,0 days 00:00:38.779000,0 days 00:00:21.954000,HARD,,,,,,,2024,GP Monaco,historica
5.0,LEC,16,Ferrari,1.0,0 days 00:01:21.795000,True,0 days 00:00:21.314000,0 days 00:00:38.513000,0 days 00:00:21.968000,HARD,,,,,,,2024,GP Monaco,historica
6.0,LEC,16,Ferrari,1.0,0 days 00:01:21.145000,True,0 days 00:00:21.568000,0 days 00:00:38.168000,0 days 00:00:21.409000,HARD,,,,,,,2024,GP Monaco,historica
7.0,LEC,16,Ferrari,1.0,0 days 00:01:20.980000,True,0 days 00:00:21.370000,0 days 00:00:38.056000,0 days 00:00:21.554000,HARD,,,,,,,2024,GP Monaco,historica
8.0,LEC,16,Ferrari,1.0,0 days 00:01:21.030000,False,0 days 00:00:21.250000,0 days 00:00:38.171000,0 days 00:00:21.609000,HARD,,,,,,,2024,GP Monaco,historica
9.0,LEC,16,Ferrari,1.0,0 days 00:01:20.114000,True,0 days 00:00:21.092000,0 days 00:00:37.612000,0 days 00:00:21.410000,HARD,,,,,,,2024,GP Monaco,historica
10.0,LEC,16,Ferrari,1.0,0 days 00:01:20.775000,False,0 days 00:00:21.036000,0 days 00:00:37.886000,0 days 00:00:21.853000,HARD,,,,,,,2024,GP Monaco,historica
11.0,LEC,16,Ferrari,1.0,0 days 00:01:21.046000,False,0 days 00:00:21.279000,0 days 00:00:38.236000,0 days 00:00:21.531000,HARD,,,,,,,2024,GP Monaco,historica
12.0,LEC,16,Ferrari,1.0,0 days 00:01:20.252000,False,0 days 00:00:20.949000,0 days 00:00:37.730000,0 days 00:00:21.573000,HARD,,,,,,,2024,GP Monaco,historica
13.0,LEC,16,Ferrari,1.0,0 days 00:01:19.017000,True,0 days 00:00:20.818000,0 days 00:00:36.898000,0 days 00:00:21.301000,HARD,,,,,,,2024,GP Monaco,historica
14.0,LEC,16,Ferrari,1.0,0 days 00:01:19.913000,False,0 days 00:00:20.847000,0 days 00:00:38.003000,0 days 00:00:21.063000,HARD,,,,,,,2024,GP Monaco,historica
15.0,LEC,16,Ferrari,1.0,0 days 00:01:19.838000,False,0 days 00:00:20.763000,0 days 00:00:37.770000,0 days 00:00:21.305000,HARD,,,,,,,2024,GP Monaco,historica
16.0,LEC,16,Ferrari,1.0,0 days 00:01:20.156000,False,0 days 00:00:21.139000,0 days 00:00:37.516000,0 days 00:00:21.501000,HARD,,,,,,,2024,GP Monaco,historica
17.0,LEC,16,Ferrari,1.0,0 days 00:01:20.279000,False,0 days 00:00:20.925000,0 days 00:00:37.498000,0 days 00:00:21.856000,HARD,,,,,,,2024,GP Monaco,historica
18.0,LEC,16,Ferrari,1.0,0 days 00:01:19.580000,False,0 days 00:00:20.612000,0 days 00:00:37.578000,0 days 00:00:21.390000,HARD,,,,,,,2024,GP Monaco,historica
19.0,LEC,16,Ferrari,1.0,0 days 00:01:18.842000,True,0 days 00:00:20.806000,0 days 00:00:36.890000,0 days 00:00:21.146000,HARD,,,,,,,2024,GP Monaco,historica
20.0,LEC,16,Ferrari,1.0,0 days 00:01:18.724000,True,0 days 00:00:20.573000,0 days 00:00:37.018000,0 days 00:00:21.133000,HARD,,,,,,,2024,GP Monaco,historica
21.0,LEC,16,Ferrari,1.0,0 days 00:01:18.472000,True,0 days 00:00:20.609000,0 days 00:00:36.874000,0 days 00:00:20.989000,HARD,,,,,,,2024,GP Monaco,historica
22.0,LEC,16,Ferrari,1.0,0 days 00:01:18.620000,False,0 days 00:00:20.591000,0 days 00:00:37.004000,0 days 00:00:21.025000,HARD,,,,,,,2024,GP Monaco,historica
23.0,LEC,16,Ferrari,1.0,0 days 00:01:18.458000,True,0 days 00:00:20.638000,0 days 00:00:36.755000,0 days 00:00:21.065000,HARD,,,,,,,2024,GP Monaco,historica
24.0,LEC,16,Ferrari,1.0,0 days 00:01:18.725000,False,0 days 00:00:20.436000,0 days 00:00:37.261000,0 days 00:00:21.028000,HARD,,,,,,,2024,GP Monaco,historica
25.0,LEC,16,Ferrari,1.0,0 days 00:01:18.973000,False,0 days 00:00:20.408000,0 days 00:00:37.435000,0 days 00:00:21.130000,HARD,,,,,,,2024,GP Monaco,historica
26.0,LEC,16,Ferrari,1.0,0 days 00:01:18.445000,True,0 days 00:00:20.305000,0 days 00:00:37.048000,0 days 00:00:21.092000,HARD,,,,,,,2024,GP Monaco,historica
27.0,LEC,16,Ferrari,1.0,0 days 00:01:18.351000,True,0 days 00:00:20.507000,0 days 00:00:36.769000,0 days 00:00:21.075000,HARD,,,,,,,2024,GP Monaco,historica
28.0,LEC,16,Ferrari,1.0,0 days 00:01:18.710000,False,0 days 00:00:20.535000,0 days 00:00:37.208000,0 days 00:00:20.967000,HARD,,,,,,,2024,GP Monaco,historica
29.0,LEC,16,Ferrari,1.0,0 days 00:01:19.053000,False,0 days 00:00:20.429000,0 days 00:00:37.312000,0 days 00:00:21.312000,HARD,,,,,,,2024,GP Monaco,historica
30.0,LEC,16,Ferrari,1.0,0 days 00:01:19.935000,False,0 days 00:00:21.091000,0 days 00:00:37.380000,0 days 00:00:21.464000,HARD,,,,,,,2024,GP Monaco,historica
31.0,LEC,16,Ferrari,1.0,0 days 00:01:18.393000,False,0 days 00:00:20.706000,0 days 00:00:36.687000,0 days 00:00:21,HARD,,,,,,,2024,GP Monaco,historica
32.0,LEC,16,Ferrari,1.0,0 days 00:01:19.125000,False,0 days 00:00:20.483000,0 days 00:00:37.216000,0 days 00:00:21.426000,HARD,,,,,,,2024,GP Monaco,historica
33.0,LEC,16,Ferrari,1.0,0 days 00:01:18.494000,False,0 days 00:00:20.510000,0 days 00:00:36.916000,0 days 00:00:21.068000,HARD,,,,,,,2024,GP Monaco,historica
34.0,LEC,16,Ferrari,1.0,0 days 00:01:19.319000,False,0 days 00:00:20.412000,0 days 00:00:37.589000,0 days 00:00:21.318000,HARD,,,,,,,2024,GP Monaco,historica
35.0,LEC,16,Ferrari,1.0,0 days 00:01:18.530000,False,0 days 00:00:20.503000,0 days 00:00:36.672000,0 days 00:00:21.355000,HARD,,,,,,,2024,GP Monaco,historica
36.0,LEC,16,Ferrari,1.0,0 days 00:01:18.689000,False,0 days 00:00:20.697000,0 days 00:00:36.919000,0 days 00:00:21.073000,HARD,,,,,,,2024,GP Monaco,historica
37.0,LEC,16,Ferrari,1.0,0 days 00:01:18.925000,False,0 days 00:00:21.082000,0 days 00:00:36.570000,0 days 00:00:21.273000,HARD,,,,,,,2024,GP Monaco,historica
38.0,LEC,16,Ferrari,1.0,0 days 00:01:18.528000,False,0 days 00:00:20.612000,0 days 00:00:36.704000,0 days 00:00:21.212000,HARD,,,,,,,2024,GP Monaco,historica
39.0,LEC,16,Ferrari,1.0,0 days 00:01:18.181000,True,0 days 00:00:20.815000,0 days 00:00:36.297000,0 days 00:00:21.069000,HARD,,,,,,,2024,GP Monaco,historica
