LapNumber,Driver,DriverNumber,Team,Position,LapTime,IsPersonalBest,Sector1Time,Sector2Time,Sector3Time,Compound,PitInTime,PitOutTime,PitStopDuration,FinishingPosition,GridPosition,FinalStatus,Season,RaceName,RaceType
1.0,GAS,10,Toro Rosso,6.0,0 days 00:01:20.480000,False,,0 days 00:00:39.742000,0 days 00:00:16.899000,SOFT,,,,2.0,6.0,Finished,2019,GP São Paulo,historica
2.0,GAS,10,Toro Rosso,6.0,0 days 00:01:14.873000,True,0 days 00:00:19.324000,0 days 00:00:38.434000,0 days 00:00:17.115000,SOFT,,,,2.0,6.0,Finished,2019,GP São Paulo,historica
3.0,GAS,10,Toro Rosso,6.0,0 days 00:01:14.212000,True,0 days 00:00:19.110000,0 days 00:00:38.178000,0 days 00:00:16.924000,SOFT,,,,2.0,6.0,Finished,2019,GP São Paulo,historica
4.0,GAS,10,Toro Rosso,6.0,0 days 00:01:14.617000,False,0 days 00:00:19.067000,0 days 00:00:38.495000,0 days 00:00:17.055000,SOFT,,,,2.0,6.0,Finished,2019,GP São Paulo,historica
5.0,GAS,10,Toro Rosso,6.0,0 days 00:01:14.372000,False,0 days 00:00:19.040000,0 days 00:00:38.304000,0 days 00:00:17.028000,SOFT,,,,2.0,6.0,Finished,2019,GP São Paulo,historica
6.0,GAS,10,Toro Rosso,6.0,0 days 00:01:14.785000,False,0 days 00:00:19.013000,0 days 00:00:38.589000,0 days 00:00:17.183000,SOFT,,,,2.0,6.0,Finished,2019,GP São Paulo,historica
7.0,GAS,10,Toro Rosso,6.0,0 days 00:01:14.939000,False,0 days 00:00:19.093000,0 days 00:00:38.640000,0 days 00:00:17.206000,SOFT,,,,2.0,6.0,Finished,2019,GP São Paulo,historica
8.0,GAS,10,Toro Rosso,6.0,0 days 00:01:14.800000,False,0 days 00:00:19.020000,0 days 00:00:38.674000,0 days 00:00:17.106000,SOFT,,,,2.0,6.0,Finished,2019,GP São Paulo,historica
9.0,GAS,10,Toro Rosso,6.0,0 days 00:01:14.983000,False,0 days 00:00:19.104000,0 days 00:00:38.750000,0 days 00:00:17.129000,SOFT,,,,2.0,6.0,Finished,2019,GP São Paulo,historica
10.0,GAS,10,Toro Rosso,7.0,0 days 00:01:15.840000,False,0 days 00:00:19.495000,0 days 00:00:39.221000,0 days 00:00:17.124000,SOFT,,,,2.0,6.0,Finished,2019,GP São Paulo,historica
11.0,GAS,10,Toro Rosso,7.0,0 days 00:01:15.199000,False,0 days 00:00:19.171000,0 days 00:00:38.900000,0 days 00:00:17.128000,SOFT,,,,2.0,6.0,Finished,2019,GP São Paulo,historica
12.0,GAS,10,Toro Rosso,7.0,0 days 00:01:14.823000,False,0 days 00:00:19.101000,0 days 00:00:38.617000,0 days 00:00:17.105000,SOFT,,,,2.0,6.0,Finished,2019,GP São Paulo,historica
13.0,GAS,10,Toro Rosso,7.0,0 days 00:01:15.051000,False,0 days 00:00:19.153000,0 days 00:00:38.696000,0 days 00:00:17.202000,SOFT,,,,2.0,6.0,Finished,2019,GP São Paulo,historica
14.0,GAS,10,Toro Rosso,7.0,0 days 00:01:14.889000,False,0 days 00:00:19.159000,0 days 00:00:38.593000,0 days 00:00:17.137000,SOFT,,,,2.0,6.0,Finished,2019,GP São Paulo,historica
15.0,GAS,10,Toro Rosso,7.0,0 days 00:01:14.558000,False,0 days 00:00:19.076000,0 days 00:00:38.364000,0 days 00:00:17.118000,SOFT,,,,2.0,6.0,Finished,2019,GP São Paulo,historica
16.0,GAS,10,Toro Rosso,7.0,0 days 00:01:14.908000,False,0 days 00:00:19.030000,0 days 00:00:38.689000,0 days 00:00:17.189000,SOFT,,,,2.0,6.0,Finished,2019,GP São Paulo,historica
17.0,GAS,10,Toro Rosso,7.0,0 days 00:01:14.829000,False,0 days 00:00:19.102000,0 days 00:00:38.602000,0 days 00:00:17.125000,SOFT,,,,2.0,6.0,Finished,2019,GP São Paulo,historica
18.0,GAS,10,Toro Rosso,7.0,0 days 00:01:15.075000,False,0 days 00:00:19.094000,0 days 00:00:38.838000,0 days 00:00:17.143000,SOFT,,,,2.0,6.0,Finished,2019,GP São Paulo,historica
19.0,GAS,10,Toro Rosso,7.0,0 days 00:01:14.900000,False,0 days 00:00:19.084000,0 days 00:00:38.699000,0 days 00:00:17.117000,SOFT,,,,2.0,6.0,Finished,2019,GP São Paulo,historica
20.0,GAS,10,Toro Rosso,7.0,0 days 00:01:15.016000,False,0 days 00:00:19.154000,0 days 00:00:38.674000,0 days 00:00:17.188000,SOFT,,,,2.0,6.0,Finished,2019,GP São Paulo,historica
21.0,GAS,10,Toro Rosso,7.0,0 days 00:01:15.007000,False,0 days 00:00:19.045000,0 days 00:00:38.796000,0 days 00:00:17.166000,SOFT,,,,2.0,6.0,Finished,2019,GP São Paulo,historica
22.0,GAS,10,Toro Rosso,7.0,0 days 00:01:18.958000,False,0 days 00:00:19.242000,0 days 00:00:38.910000,0 days 00:00:20.806000,SOFT,0 days 01:00:33.726000,0 days 01:00:56.637000,0 days 00:00:22.911000,2.0,6.0,Finished,2019,GP São Paulo,historica
23.0,GAS,10,Toro Rosso,12.0,0 days 00:01:31.507000,False,0 days 00:00:36.086000,0 days 00:00:38.755000,0 days 00:00:16.666000,MEDIUM,,,,2.0,6.0,Finished,2019,GP São Paulo,historica
24.0,GAS,10,Toro Rosso,12.0,0 days 00:01:13.600000,True,0 days 00:00:18.720000,0 days 00:00:38.083000,0 days 00:00:16.797000,MEDIUM,,,,2.0,6.0,Finished,2019,GP São Paulo,historica
25.0,GAS,10,Toro Rosso,11.0,0 days 00:01:14.376000,False,0 days 00:00:18.754000,0 days 00:00:38.776000,0 days 00:00:16.846000,MEDIUM,,,,2.0,6.0,Finished,2019,GP São Paulo,historica
26.0,GAS,10,Toro Rosso,11.0,0 days 00:01:13.682000,False,0 days 00:00:18.909000,0 days 00:00:37.977000,0 days 00:00:16.796000,MEDIUM,,,,2.0,6.0,Finished,2019,GP São Paulo,historica
27.0,GAS,10,Toro Rosso,9.0,0 days 00:01:14.408000,False,0 days 00:00:18.969000,0 days 00:00:38.522000,0 days 00:00:16.917000,MEDIUM,,,,2.0,6.0,Finished,2019,GP São Paulo,historica
28.0,GAS,10,Toro Rosso,8.0,0 days 00:01:14.208000,False,0 days 00:00:18.986000,0 days 00:00:38.432000,0 days 00:00:16.790000,MEDIUM,,,,2.0,6.0,Finished,2019,GP São Paulo,historica
