LapNumber,Driver,DriverNumber,Team,Position,LapTime,IsPersonalBest,Sector1Time,Sector2Time,Sector3Time,Compound,PitInTime,PitOutTime,PitStopDuration,FinishingPosition,GridPosition,FinalStatus,Season,RaceName,RaceType
1.0,HAM,44,Mercedes,2.0,0 days 00:01:52.700000,False,,0 days 00:00:49.406000,0 days 00:00:29.478000,MEDIUM,,,,1.0,3.0,Finished,2024,GP Belgica,historica
2.0,HAM,44,Mercedes,2.0,0 days 00:01:49.849000,True,0 days 00:00:31.284000,0 days 00:00:49.211000,0 days 00:00:29.354000,MEDIUM,,,,1.0,3.0,Finished,2024,GP Belgica,historica
3.0,HAM,44,Mercedes,1.0,0 days 00:01:49.109000,True,0 days 00:00:31.215000,0 days 00:00:48.486000,0 days 00:00:29.408000,MEDIUM,,,,1.0,3.0,Finished,2024,GP Belgica,historica
4.0,HAM,44,Mercedes,1.0,0 days 00:01:49.808000,False,0 days 00:00:31.754000,0 days 00:00:48.605000,0 days 00:00:29.449000,MEDIUM,,,,1.0,3.0,Finished,2024,GP Belgica,historica
5.0,HAM,44,Mercedes,1.0,0 days 00:01:49.376000,False,0 days 00:00:31.592000,0 days 00:00:48.320000,0 days 00:00:29.464000,MEDIUM,,,,1.0,3.0,Finished,2024,GP Belgica,historica
6.0,HAM,44,Mercedes,1.0,0 days 00:01:49.400000,False,0 days 00:00:31.618000,0 days 00:00:48.355000,0 days 00:00:29.427000,MEDIUM,,,,1.0,3.0,Finished,2024,GP Belgica,historica
7.0,HAM,44,Mercedes,1.0,0 days 00:01:49.357000,False,0 days 00:00:31.662000,0 days 00:00:48.124000,0 days 00:00:29.571000,MEDIUM,,,,1.0,3.0,Finished,2024,GP Belgica,historica
8.0,HAM,44,Mercedes,1.0,0 days 00:01:49.666000,False,0 days 00:00:31.646000,0 days 00:00:48.515000,0 days 00:00:29.505000,MEDIUM,,,,1.0,3.0,Finished,2024,GP Belgica,historica
9.0,HAM,44,Mercedes,1.0,0 days 00:01:49.704000,False,0 days 00:00:31.616000,0 days 00:00:48.572000,0 days 00:00:29.516000,MEDIUM,,,,1.0,3.0,Finished,2024,GP Belgica,historica
10.0,HAM,44,Mercedes,1.0,0 days 00:01:49.951000,False,0 days 00:00:31.625000,0 days 00:00:48.752000,0 days 00:00:29.574000,MEDIUM,,,,1.0,3.0,Finished,2024,GP Belgica,historica
11.0,HAM,44,Mercedes,2.0,0 days 00:01:54.328000,False,0 days 00:00:31.618000,0 days 00:00:48.726000,0 days 00:00:33.984000,MEDIUM,0 days 01:15:24.524000,0 days 01:15:47.722000,0 days 00:00:23.198000,1.0,3.0,Finished,2024,GP Belgica,historica
12.0,HAM,44,Mercedes,5.0,0 days 00:02:04.792000,False,0 days 00:00:46.008000,0 days 00:00:49.504000,0 days 00:00:29.280000,HARD,,,,1.0,3.0,Finished,2024,GP Belgica,historica
13.0,HAM,44,Mercedes,3.0,0 days 00:01:48.204000,False,0 days 00:00:31.262000,0 days 00:00:47.833000,0 days 00:00:29.109000,HARD,,,,1.0,3.0,Finished,2024,GP Belgica,historica
14.0,HAM,44,Mercedes,3.0,0 days 00:01:48.124000,True,0 days 00:00:31.323000,0 days 00:00:47.550000,0 days 00:00:29.251000,HARD,,,,1.0,3.0,Finished,2024,GP Belgica,historica
15.0,HAM,44,Mercedes,3.0,0 days 00:01:48.150000,False,0 days 00:00:31.380000,0 days 00:00:47.556000,0 days 00:00:29.214000,HARD,,,,1.0,3.0,Finished,2024,GP Belgica,historica
16.0,HAM,44,Mercedes,2.0,0 days 00:01:47.973000,True,0 days 00:00:31.381000,0 days 00:00:47.444000,0 days 00:00:29.148000,HARD,,,,1.0,3.0,Finished,2024,GP Belgica,historica
17.0,HAM,44,Mercedes,2.0,0 days 00:01:47.957000,True,0 days 00:00:31.418000,0 days 00:00:47.512000,0 days 00:00:29.027000,HARD,,,,1.0,3.0,Finished,2024,GP Belgica,historica
18.0,HAM,44,Mercedes,2.0,0 days 00:01:47.910000,True,0 days 00:00:31.287000,0 days 00:00:47.481000,0 days 00:00:29.142000,HARD,,,,1.0,3.0,Finished,2024,GP Belgica,historica
19.0,HAM,44,Mercedes,2.0,0 days 00:01:48.040000,False,0 days 00:00:31.360000,0 days 00:00:47.575000,0 days 00:00:29.105000,HARD,,,,1.0,3.0,Finished,2024,GP Belgica,historica
20.0,HAM,44,Mercedes,1.0,0 days 00:01:48.237000,False,0 days 00:00:31.378000,0 days 00:00:47.684000,0 days 00:00:29.175000,HARD,,,,1.0,3.0,Finished,2024,GP Belgica,historica
21.0,HAM,44,Mercedes,1.0,0 days 00:01:48.396000,False,0 days 00:00:31.497000,0 days 00:00:47.602000,0 days 00:00:29.297000,HARD,,,,1.0,3.0,Finished,2024,GP Belgica,historica
22.0,HAM,44,Mercedes,1.0,0 days 00:01:48.368000,False,0 days 00:00:31.443000,0 days 00:00:47.622000,0 days 00:00:29.303000,HARD,,,,1.0,3.0,Finished,2024,GP Belgica,historica
23.0,HAM,44,Mercedes,1.0,0 days 00:01:48.338000,False,0 days 00:00:31.486000,0 days 00:00:47.580000,0 days 00:00:29.272000,HARD,,,,1.0,3.0,Finished,2024,GP Belgica,historica
24.0,HAM,44,Mercedes,1.0,0 days 00:01:48.028000,False,0 days 00:00:31.366000,0 days 00:00:47.535000,0 days 00:00:29.127000,HARD,,,,1.0,3.0,Finished,2024,GP Belgica,historica
25.0,HAM,44,Mercedes,1.0,0 days 00:01:47.845000,True,0 days 00:00:31.415000,0 days 00:00:47.395000,0 days 00:00:29.035000,HARD,,,,1.0,3.0,Finished,2024,GP Belgica,historica
26.0,HAM,44,Mercedes,1.0,0 days 00:01:52.047000,False,0 days 00:00:31.359000,0 days 00:00:47.199000,0 days 00:00:33.489000,HARD,0 days 01:42:46.977000,0 days 01:43:09.642000,0 days 00:00:22.665000,1.0,3.0,Finished,2024,GP Belgica,historica
27.0,HAM,44,Mercedes,6.0,0 days 00:02:01.300000,False,0 days 00:00:45.393000,0 days 00:00:46.984000,0 days 00:00:28.923000,HARD,,,,1.0,3.0,Finished,2024,GP Belgica,historica
28.0,HAM,44,Mercedes,5.0,0 days 00:01:47.396000,True,0 days 00:00:30.835000,0 days 00:00:47.762000,0 days 00:00:28.799000,HARD,,,,1.0,3.0,Finished,2024,GP Belgica,historica
29.0,HAM,44,Mercedes,4.0,0 days 00:01:47.429000,False,0 days 00:00:31.059000,0 days 00:00:47.387000,0 days 00:00:28.983000,HARD,,,,1.0,3.0,Finished,2024,GP Belgica,historica
30.0,HAM,44,Mercedes,3.0,0 days 00:01:47.031000,True,0 days 00:00:31.176000,0 days 00:00:46.961000,0 days 00:00:28.894000,HARD,,,,1.0,3.0,Finished,2024,GP Belgica,historica
