LapNumber,Driver,DriverNumber,Team,Position,LapTime,IsPersonalBest,Sector1Time,Sector2Time,Sector3Time,Compound,PitInTime,PitOutTime,PitStopDuration,FinishingPosition,GridPosition,FinalStatus,Season,RaceName,RaceType
1.0,HAM,44,Mercedes,1.0,0 days 00:01:21.953000,False,,0 days 00:00:36.714000,0 days 00:00:20.669000,SOFT,,,,1.0,1.0,Finished,2019,GP Monaco,historica
2.0,HAM,44,Mercedes,1.0,0 days 00:01:17.129000,True,0 days 00:00:20.352000,0 days 00:00:36.147000,0 days 00:00:20.630000,SOFT,,,,1.0,1.0,Finished,2019,GP Monaco,historica
3.0,HAM,44,Mercedes,1.0,0 days 00:01:16.720000,True,0 days 00:00:20.135000,0 days 00:00:36.193000,0 days 00:00:20.392000,SOFT,,,,1.0,1.0,Finished,2019,GP Monaco,historica
4.0,HAM,44,Mercedes,1.0,0 days 00:01:16.355000,True,0 days 00:00:20.100000,0 days 00:00:35.917000,0 days 00:00:20.338000,SOFT,,,,1.0,1.0,Finished,2019,GP Monaco,historica
5.0,HAM,44,Mercedes,1.0,0 days 00:01:16.711000,False,0 days 00:00:20.097000,0 days 00:00:36.078000,0 days 00:00:20.536000,SOFT,,,,1.0,1.0,Finished,2019,GP Monaco,historica
6.0,HAM,44,Mercedes,1.0,0 days 00:01:16.669000,False,0 days 00:00:20.129000,0 days 00:00:35.993000,0 days 00:00:20.547000,SOFT,,,,1.0,1.0,Finished,2019,GP Monaco,historica
7.0,HAM,44,Mercedes,1.0,0 days 00:01:16.459000,False,0 days 00:00:20.097000,0 days 00:00:35.946000,0 days 00:00:20.416000,SOFT,,,,1.0,1.0,Finished,2019,GP Monaco,historica
8.0,HAM,44,Mercedes,1.0,0 days 00:01:16.298000,True,0 days 00:00:20.128000,0 days 00:00:35.823000,0 days 00:00:20.347000,SOFT,,,,1.0,1.0,Finished,2019,GP Monaco,historica
9.0,HAM,44,Mercedes,1.0,0 days 00:01:16.167000,True,0 days 00:00:19.995000,0 days 00:00:35.895000,0 days 00:00:20.277000,SOFT,,,,1.0,1.0,Finished,2019,GP Monaco,historica
10.0,HAM,44,Mercedes,1.0,0 days 00:01:17.234000,False,0 days 00:00:19.763000,0 days 00:00:36.385000,0 days 00:00:21.086000,SOFT,,,,1.0,1.0,Finished,2019,GP Monaco,historica
11.0,HAM,44,Mercedes,1.0,0 days 00:01:49.838000,False,0 days 00:00:20.281000,0 days 00:00:50.232000,0 days 00:00:39.325000,SOFT,0 days 00:47:03.699000,0 days 00:47:27.966000,0 days 00:00:24.267000,1.0,1.0,Finished,2019,GP Monaco,historica
12.0,HAM,44,Mercedes,1.0,0 days 00:01:59.343000,False,0 days 00:00:29.589000,0 days 00:00:55.374000,0 days 00:00:34.380000,MEDIUM,,,,1.0,1.0,Finished,2019,GP Monaco,historica
13.0,HAM,44,Mercedes,1.0,0 days 00:01:52.047000,False,0 days 00:00:30.999000,0 days 00:00:51.227000,0 days 00:00:29.821000,MEDIUM,,,,1.0,1.0,Finished,2019,GP Monaco,historica
14.0,HAM,44,Mercedes,1.0,0 days 00:01:58.037000,False,0 days 00:00:30.260000,0 days 00:01:00.292000,0 days 00:00:27.485000,MEDIUM,,,,1.0,1.0,Finished,2019,GP Monaco,historica
15.0,HAM,44,Mercedes,1.0,0 days 00:01:21.157000,False,0 days 00:00:21.510000,0 days 00:00:37.918000,0 days 00:00:21.729000,MEDIUM,,,,1.0,1.0,Finished,2019,GP Monaco,historica
16.0,HAM,44,Mercedes,1.0,0 days 00:01:19.653000,False,0 days 00:00:21.311000,0 days 00:00:36.937000,0 days 00:00:21.405000,MEDIUM,,,,1.0,1.0,Finished,2019,GP Monaco,historica
17.0,HAM,44,Mercedes,1.0,0 days 00:01:19.297000,False,0 days 00:00:21.161000,0 days 00:00:36.825000,0 days 00:00:21.311000,MEDIUM,,,,1.0,1.0,Finished,2019,GP Monaco,historica
18.0,HAM,44,Mercedes,1.0,0 days 00:01:18.887000,False,0 days 00:00:20.972000,0 days 00:00:36.746000,0 days 00:00:21.169000,MEDIUM,,,,1.0,1.0,Finished,2019,GP Monaco,historica
19.0,HAM,44,Mercedes,1.0,0 days 00:01:18.698000,False,0 days 00:00:20.814000,0 days 00:00:36.610000,0 days 00:00:21.274000,MEDIUM,,,,1.0,1.0,Finished,2019,GP Monaco,historica
