LapNumber,Driver,DriverNumber,Team,Position,LapTime,IsPersonalBest,Sector1Time,Sector2Time,Sector3Time,Compound,PitInTime,PitOutTime,PitStopDuration,FinishingPosition,GridPosition,FinalStatus,Season,RaceName,RaceType
1.0,GAS,10,Toro Rosso,12.0,0 days 00:02:00.688000,False,,0 days 00:00:33.112000,0 days 00:00:55.266000,nan,,,,14.0,9.0,+1 Lap,2018,GP Monza,historica
2.0,GAS,10,Toro Rosso,11.0,0 days 00:02:17.371000,True,0 days 00:00:45.449000,0 days 00:00:46.278000,0 days 00:00:45.644000,SUPERSOFT,,,,14.0,9.0,+1 Lap,2018,GP Monza,historica
3.0,GAS,10,Toro Rosso,11.0,0 days 00:02:01.011000,True,0 days 00:00:45.960000,0 days 00:00:42.015000,0 days 00:00:33.036000,SUPERSOFT,,,,14.0,9.0,+1 Lap,2018,GP Monza,historica
4.0,GAS,10,Toro Rosso,11.0,0 days 00:01:29.166000,True,0 days 00:00:29.369000,0 days 00:00:30.811000,0 days 00:00:28.986000,SUPERSOFT,,,,14.0,9.0,+1 Lap,2018,GP Monza,historica
5.0,GAS,10,Toro Rosso,11.0,0 days 00:01:27.245000,True,0 days 00:00:28.247000,0 days 00:00:29.853000,0 days 00:00:29.145000,SUPERSOFT,,,,14.0,9.0,+1 Lap,2018,GP Monza,historica
6.0,GAS,10,Toro Rosso,12.0,0 days 00:01:27.275000,False,0 days 00:00:28.679000,0 days 00:00:29.785000,0 days 00:00:28.811000,SUPERSOFT,,,,14.0,9.0,+1 Lap,2018,GP Monza,historica
7.0,GAS,10,Toro Rosso,12.0,0 days 00:01:28.096000,False,0 days 00:00:28.135000,0 days 00:00:30.291000,0 days 00:00:29.670000,SUPERSOFT,,,,14.0,9.0,+1 Lap,2018,GP Monza,historica
8.0,GAS,10,Toro Rosso,13.0,0 days 00:01:27.990000,False,0 days 00:00:28.420000,0 days 00:00:30.457000,0 days 00:00:29.113000,SUPERSOFT,,,,14.0,9.0,+1 Lap,2018,GP Monza,historica
9.0,GAS,10,Toro Rosso,11.0,0 days 00:01:26.915000,True,0 days 00:00:28.150000,0 days 00:00:29.954000,0 days 00:00:28.811000,SUPERSOFT,,,,14.0,9.0,+1 Lap,2018,GP Monza,historica
10.0,GAS,10,Toro Rosso,12.0,0 days 00:01:27.492000,False,0 days 00:00:28.837000,0 days 00:00:29.772000,0 days 00:00:28.883000,SUPERSOFT,,,,14.0,9.0,+1 Lap,2018,GP Monza,historica
11.0,GAS,10,Toro Rosso,12.0,0 days 00:01:27.798000,False,0 days 00:00:29.091000,0 days 00:00:29.819000,0 days 00:00:28.888000,SUPERSOFT,,,,14.0,9.0,+1 Lap,2018,GP Monza,historica
12.0,GAS,10,Toro Rosso,13.0,0 days 00:01:27.819000,False,0 days 00:00:28.911000,0 days 00:00:30.010000,0 days 00:00:28.898000,SUPERSOFT,,,,14.0,9.0,+1 Lap,2018,GP Monza,historica
13.0,GAS,10,Toro Rosso,13.0,0 days 00:01:26.353000,True,0 days 00:00:28.068000,0 days 00:00:29.497000,0 days 00:00:28.788000,SUPERSOFT,,,,14.0,9.0,+1 Lap,2018,GP Monza,historica
14.0,GAS,10,Toro Rosso,13.0,0 days 00:01:26.705000,False,0 days 00:00:28.330000,0 days 00:00:29.537000,0 days 00:00:28.838000,SUPERSOFT,,,,14.0,9.0,+1 Lap,2018,GP Monza,historica
15.0,GAS,10,Toro Rosso,13.0,0 days 00:01:27.193000,False,0 days 00:00:28.501000,0 days 00:00:29.856000,0 days 00:00:28.836000,SUPERSOFT,,,,14.0,9.0,+1 Lap,2018,GP Monza,historica
16.0,GAS,10,Toro Rosso,13.0,0 days 00:01:26.710000,False,0 days 00:00:28.297000,0 days 00:00:29.488000,0 days 00:00:28.925000,SUPERSOFT,,,,14.0,9.0,+1 Lap,2018,GP Monza,historica
17.0,GAS,10,Toro Rosso,14.0,0 days 00:01:27.895000,False,0 days 00:00:28.411000,0 days 00:00:30.449000,0 days 00:00:29.035000,SUPERSOFT,,,,14.0,9.0,+1 Lap,2018,GP Monza,historica
18.0,GAS,10,Toro Rosso,14.0,0 days 00:01:27.358000,False,0 days 00:00:28.619000,0 days 00:00:29.769000,0 days 00:00:28.970000,SUPERSOFT,,,,14.0,9.0,+1 Lap,2018,GP Monza,historica
19.0,GAS,10,Toro Rosso,14.0,0 days 00:01:27.027000,False,0 days 00:00:28.259000,0 days 00:00:29.664000,0 days 00:00:29.104000,SUPERSOFT,,,,14.0,9.0,+1 Lap,2018,GP Monza,historica
20.0,GAS,10,Toro Rosso,14.0,0 days 00:01:26.614000,False,0 days 00:00:28.360000,0 days 00:00:29.464000,0 days 00:00:28.790000,SUPERSOFT,,,,14.0,9.0,+1 Lap,2018,GP Monza,historica
