LapNumber,Driver,DriverNumber,Team,Position,LapTime,IsPersonalBest,Sector1Time,Sector2Time,Sector3Time,Compound,PitInTime,PitOutTime,PitStopDuration,FinishingPosition,GridPosition,FinalStatus,Season,RaceName,RaceType
1.0,VER,1,Red Bull Racing,1.0,0 days 00:01:59.857000,False,,0 days 00:01:00.960000,0 days 00:00:35.620000,SOFT,0 days 01:04:20.007000,0 days 01:04:38.647000,0 days 00:00:18.640000,1.0,1.0,Finished,2023,GP São Paulo,historica
2.0,VER,1,Red Bull Racing,1.0,0 days 00:02:23.356000,False,0 days 00:00:44.083000,0 days 00:01:03.234000,0 days 00:00:36.039000,SOFT,0 days 01:06:43.349000,0 days 01:30:05.989000,0 days 00:23:22.640000,1.0,1.0,Finished,2023,GP São Paulo,historica
3.0,VER,1,Red Bull Racing,1.0,,False,,0 days 00:00:49.786000,0 days 00:00:49.011000,SOFT,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
4.0,VER,1,Red Bull Racing,1.0,0 days 00:02:12.670000,True,0 days 00:01:16.382000,0 days 00:00:38.838000,0 days 00:00:17.450000,SOFT,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
5.0,VER,1,Red Bull Racing,1.0,0 days 00:01:15.745000,True,0 days 00:00:19.651000,0 days 00:00:38.648000,0 days 00:00:17.446000,SOFT,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
6.0,VER,1,Red Bull Racing,1.0,0 days 00:01:15.547000,True,0 days 00:00:19.715000,0 days 00:00:38.471000,0 days 00:00:17.361000,SOFT,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
7.0,VER,1,Red Bull Racing,1.0,0 days 00:01:15.591000,False,0 days 00:00:19.596000,0 days 00:00:38.586000,0 days 00:00:17.409000,SOFT,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
8.0,VER,1,Red Bull Racing,1.0,0 days 00:01:15.864000,False,0 days 00:00:19.615000,0 days 00:00:38.746000,0 days 00:00:17.503000,SOFT,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
9.0,VER,1,Red Bull Racing,1.0,0 days 00:01:16.169000,False,0 days 00:00:19.722000,0 days 00:00:38.984000,0 days 00:00:17.463000,SOFT,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
10.0,VER,1,Red Bull Racing,1.0,0 days 00:01:15.989000,False,0 days 00:00:19.626000,0 days 00:00:38.882000,0 days 00:00:17.481000,SOFT,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
11.0,VER,1,Red Bull Racing,1.0,0 days 00:01:16.272000,False,0 days 00:00:19.709000,0 days 00:00:39.073000,0 days 00:00:17.490000,SOFT,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
12.0,VER,1,Red Bull Racing,1.0,0 days 00:01:15.879000,False,0 days 00:00:19.615000,0 days 00:00:38.779000,0 days 00:00:17.485000,SOFT,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
13.0,VER,1,Red Bull Racing,1.0,0 days 00:01:16.299000,False,0 days 00:00:19.715000,0 days 00:00:38.924000,0 days 00:00:17.660000,SOFT,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
14.0,VER,1,Red Bull Racing,1.0,0 days 00:01:16.080000,False,0 days 00:00:19.631000,0 days 00:00:38.941000,0 days 00:00:17.508000,SOFT,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
15.0,VER,1,Red Bull Racing,1.0,0 days 00:01:16.408000,False,0 days 00:00:19.694000,0 days 00:00:39.078000,0 days 00:00:17.636000,SOFT,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
16.0,VER,1,Red Bull Racing,1.0,0 days 00:01:16.305000,False,0 days 00:00:19.643000,0 days 00:00:38.976000,0 days 00:00:17.686000,SOFT,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
17.0,VER,1,Red Bull Racing,1.0,0 days 00:01:16.170000,False,0 days 00:00:19.691000,0 days 00:00:38.843000,0 days 00:00:17.636000,SOFT,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
18.0,VER,1,Red Bull Racing,1.0,0 days 00:01:16.341000,False,0 days 00:00:19.717000,0 days 00:00:38.977000,0 days 00:00:17.647000,SOFT,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
19.0,VER,1,Red Bull Racing,1.0,0 days 00:01:16.047000,False,0 days 00:00:19.706000,0 days 00:00:38.725000,0 days 00:00:17.616000,SOFT,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
20.0,VER,1,Red Bull Racing,1.0,0 days 00:01:15.996000,False,0 days 00:00:19.636000,0 days 00:00:38.684000,0 days 00:00:17.676000,SOFT,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
21.0,VER,1,Red Bull Racing,1.0,0 days 00:01:16.207000,False,0 days 00:00:19.640000,0 days 00:00:38.911000,0 days 00:00:17.656000,SOFT,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
22.0,VER,1,Red Bull Racing,1.0,0 days 00:01:16.206000,False,0 days 00:00:19.695000,0 days 00:00:38.751000,0 days 00:00:17.760000,SOFT,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
23.0,VER,1,Red Bull Racing,1.0,0 days 00:01:16.026000,False,0 days 00:00:19.674000,0 days 00:00:38.663000,0 days 00:00:17.689000,SOFT,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
24.0,VER,1,Red Bull Racing,1.0,0 days 00:01:16.397000,False,0 days 00:00:19.648000,0 days 00:00:39.015000,0 days 00:00:17.734000,SOFT,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
25.0,VER,1,Red Bull Racing,1.0,0 days 00:01:16.269000,False,0 days 00:00:19.662000,0 days 00:00:38.884000,0 days 00:00:17.723000,SOFT,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
26.0,VER,1,Red Bull Racing,1.0,0 days 00:01:16.435000,False,0 days 00:00:19.675000,0 days 00:00:39.003000,0 days 00:00:17.757000,SOFT,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
27.0,VER,1,Red Bull Racing,1.0,0 days 00:01:20.264000,False,0 days 00:00:19.657000,0 days 00:00:39.037000,0 days 00:00:21.570000,SOFT,0 days 02:03:35.731000,0 days 02:03:58.809000,0 days 00:00:23.078000,1.0,1.0,Finished,2023,GP São Paulo,historica
28.0,VER,1,Red Bull Racing,1.0,0 days 00:01:32.801000,False,0 days 00:00:36.681000,0 days 00:00:38.792000,0 days 00:00:17.328000,MEDIUM,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
29.0,VER,1,Red Bull Racing,1.0,0 days 00:01:15.713000,False,0 days 00:00:19.586000,0 days 00:00:38.794000,0 days 00:00:17.333000,MEDIUM,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
30.0,VER,1,Red Bull Racing,1.0,0 days 00:01:15.799000,False,0 days 00:00:19.535000,0 days 00:00:38.740000,0 days 00:00:17.524000,MEDIUM,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
31.0,VER,1,Red Bull Racing,1.0,0 days 00:01:15.787000,False,0 days 00:00:19.535000,0 days 00:00:38.727000,0 days 00:00:17.525000,MEDIUM,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
32.0,VER,1,Red Bull Racing,1.0,0 days 00:01:15.439000,True,0 days 00:00:19.497000,0 days 00:00:38.517000,0 days 00:00:17.425000,MEDIUM,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
33.0,VER,1,Red Bull Racing,1.0,0 days 00:01:15.174000,True,0 days 00:00:19.581000,0 days 00:00:38.120000,0 days 00:00:17.473000,MEDIUM,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
34.0,VER,1,Red Bull Racing,1.0,0 days 00:01:15.115000,True,0 days 00:00:19.531000,0 days 00:00:38.213000,0 days 00:00:17.371000,MEDIUM,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
35.0,VER,1,Red Bull Racing,1.0,0 days 00:01:15.157000,False,0 days 00:00:19.526000,0 days 00:00:38.270000,0 days 00:00:17.361000,MEDIUM,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
36.0,VER,1,Red Bull Racing,1.0,0 days 00:01:15.125000,False,0 days 00:00:19.467000,0 days 00:00:38.269000,0 days 00:00:17.389000,MEDIUM,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
37.0,VER,1,Red Bull Racing,1.0,0 days 00:01:14.682000,True,0 days 00:00:19.387000,0 days 00:00:37.977000,0 days 00:00:17.318000,MEDIUM,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
38.0,VER,1,Red Bull Racing,1.0,0 days 00:01:14.954000,False,0 days 00:00:19.309000,0 days 00:00:38.193000,0 days 00:00:17.452000,MEDIUM,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
39.0,VER,1,Red Bull Racing,1.0,0 days 00:01:14.974000,False,0 days 00:00:19.293000,0 days 00:00:38.211000,0 days 00:00:17.470000,MEDIUM,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
40.0,VER,1,Red Bull Racing,1.0,0 days 00:01:15.218000,False,0 days 00:00:19.389000,0 days 00:00:38.459000,0 days 00:00:17.370000,MEDIUM,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
41.0,VER,1,Red Bull Racing,1.0,0 days 00:01:15.355000,False,0 days 00:00:19.440000,0 days 00:00:38.372000,0 days 00:00:17.543000,MEDIUM,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
42.0,VER,1,Red Bull Racing,1.0,0 days 00:01:15.202000,False,0 days 00:00:19.381000,0 days 00:00:38.269000,0 days 00:00:17.552000,MEDIUM,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
43.0,VER,1,Red Bull Racing,1.0,0 days 00:01:15.052000,False,0 days 00:00:19.240000,0 days 00:00:38.300000,0 days 00:00:17.512000,MEDIUM,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
44.0,VER,1,Red Bull Racing,1.0,0 days 00:01:15.320000,False,0 days 00:00:19.385000,0 days 00:00:38.279000,0 days 00:00:17.656000,MEDIUM,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
45.0,VER,1,Red Bull Racing,1.0,0 days 00:01:15.471000,False,0 days 00:00:19.386000,0 days 00:00:38.417000,0 days 00:00:17.668000,MEDIUM,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
46.0,VER,1,Red Bull Racing,1.0,0 days 00:01:15.329000,False,0 days 00:00:19.292000,0 days 00:00:38.439000,0 days 00:00:17.598000,MEDIUM,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
47.0,VER,1,Red Bull Racing,1.0,0 days 00:01:15.362000,False,0 days 00:00:19.295000,0 days 00:00:38.490000,0 days 00:00:17.577000,MEDIUM,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
48.0,VER,1,Red Bull Racing,1.0,0 days 00:01:15.524000,False,0 days 00:00:19.383000,0 days 00:00:38.593000,0 days 00:00:17.548000,MEDIUM,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
49.0,VER,1,Red Bull Racing,1.0,0 days 00:01:15.442000,False,0 days 00:00:19.350000,0 days 00:00:38.524000,0 days 00:00:17.568000,MEDIUM,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
50.0,VER,1,Red Bull Racing,1.0,0 days 00:01:15.436000,False,0 days 00:00:19.309000,0 days 00:00:38.558000,0 days 00:00:17.569000,MEDIUM,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
51.0,VER,1,Red Bull Racing,1.0,0 days 00:01:15.440000,False,0 days 00:00:19.368000,0 days 00:00:38.559000,0 days 00:00:17.513000,MEDIUM,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
52.0,VER,1,Red Bull Racing,1.0,0 days 00:01:15.390000,False,0 days 00:00:19.273000,0 days 00:00:38.651000,0 days 00:00:17.466000,MEDIUM,,,,1.0,1.0,Finished,2023,GP São Paulo,historica
