LapNumber,Driver,DriverNumber,Team,Position,LapTime,IsPersonalBest,Sector1Time,Sector2Time,Sector3Time,Compound,PitInTime,PitOutTime,PitStopDuration,FinishingPosition,GridPosition,FinalStatus,Season,RaceName,RaceType
1.0,VER,33,Red Bull Racing,1.0,0 days 00:03:27.071000,False,,0 days 00:01:36.992000,0 days 00:00:53.620000,WET,,,,1.0,1.0,Finished,2021,GP Belgica,historica
2.0,VER,33,Red Bull Racing,1.0,,False,0 days 00:00:54.169000,0 days 00:01:32.540000,0 days 00:00:51.665000,WET,,,,1.0,1.0,Finished,2021,GP Belgica,historica
3.0,VER,33,Red Bull Racing,1.0,,False,0 days 00:00:52.264000,0 days 00:01:32.729000,0 days 00:00:59.005000,WET,,,,1.0,1.0,Finished,2021,GP Belgica,historica
1.0,RUS,63,Williams,2.0,0 days 00:03:29.066000,False,,0 days 00:01:36.790000,0 days 00:00:54.536000,WET,,,,2.0,2.0,Finished,2021,GP Belgica,historica
2.0,RUS,63,Williams,2.0,,False,0 days 00:00:54.706000,0 days 00:01:32.105000,0 days 00:00:51.993000,WET,,,,2.0,2.0,Finished,2021,GP Belgica,historica
3.0,RUS,63,Williams,2.0,,False,0 days 00:00:51.848000,0 days 00:01:32.934000,0 days 00:00:58.604000,WET,,,,2.0,2.0,Finished,2021,GP Belgica,historica
1.0,HAM,44,Mercedes,3.0,0 days 00:03:29.672000,False,,0 days 00:01:36.890000,0 days 00:00:53.917000,UNKNOWN,,,,3.0,3.0,Finished,2021,GP Belgica,historica
2.0,HAM,44,Mercedes,3.0,,False,0 days 00:00:55.741000,0 days 00:01:32.236000,0 days 00:00:51.124000,UNKNOWN,,,,3.0,3.0,Finished,2021,GP Belgica,historica
3.0,HAM,44,Mercedes,3.0,,False,0 days 00:00:53.382000,0 days 00:01:31.206000,0 days 00:01:00.572000,UNKNOWN,,,,3.0,3.0,Finished,2021,GP Belgica,historica
1.0,RIC,3,McLaren,4.0,0 days 00:03:31.567000,False,,0 days 00:01:36.334000,0 days 00:00:54.696000,UNKNOWN,,,,4.0,4.0,Finished,2021,GP Belgica,historica
2.0,RIC,3,McLaren,4.0,,False,0 days 00:00:55.219000,0 days 00:01:31.923000,0 days 00:00:52.045000,UNKNOWN,,,,4.0,4.0,Finished,2021,GP Belgica,historica
3.0,RIC,3,McLaren,4.0,,False,0 days 00:00:54.072000,0 days 00:01:30.090000,0 days 00:01:02.308000,UNKNOWN,,,,4.0,4.0,Finished,2021,GP Belgica,historica
1.0,VET,5,Aston Martin,5.0,0 days 00:03:34.550000,False,,0 days 00:01:37.122000,0 days 00:00:55.188000,UNKNOWN,,,,5.0,5.0,Finished,2021,GP Belgica,historica
2.0,VET,5,Aston Martin,5.0,,False,0 days 00:00:54.306000,0 days 00:01:32.277000,0 days 00:00:51.913000,UNKNOWN,,,,5.0,5.0,Finished,2021,GP Belgica,historica
3.0,VET,5,Aston Martin,5.0,,False,0 days 00:00:52.916000,0 days 00:01:31.267000,0 days 00:01:04.298000,UNKNOWN,,,,5.0,5.0,Finished,2021,GP Belgica,historica
1.0,GAS,10,AlphaTauri,6.0,0 days 00:03:37.248000,False,,0 days 00:01:36.460000,0 days 00:00:56.332000,UNKNOWN,,,,6.0,6.0,Finished,2021,GP Belgica,historica
2.0,GAS,10,AlphaTauri,6.0,,False,0 days 00:00:54.363000,0 days 00:01:30.553000,0 days 00:00:54.368000,UNKNOWN,,,,6.0,6.0,Finished,2021,GP Belgica,historica
3.0,GAS,10,AlphaTauri,6.0,,False,0 days 00:00:51.854000,0 days 00:01:30.865000,0 days 00:01:06.519000,UNKNOWN,,,,6.0,6.0,Finished,2021,GP Belgica,historica
1.0,OCO,31,Alpine,7.0,0 days 00:03:38.650000,False,,0 days 00:01:33.383000,0 days 00:00:56.607000,UNKNOWN,,,,7.0,8.0,Finished,2021,GP Belgica,historica
2.0,OCO,31,Alpine,7.0,,False,0 days 00:00:58.745000,0 days 00:01:25.828000,0 days 00:00:53.947000,UNKNOWN,,,,7.0,8.0,Finished,2021,GP Belgica,historica
3.0,OCO,31,Alpine,7.0,,False,0 days 00:00:54.742000,0 days 00:01:28.837000,0 days 00:01:06.524000,UNKNOWN,,,,7.0,8.0,Finished,2021,GP Belgica,historica
1.0,LEC,16,Ferrari,8.0,0 days 00:03:39.679000,False,,0 days 00:01:29.989000,0 days 00:00:56.823000,UNKNOWN,,,,8.0,9.0,Finished,2021,GP Belgica,historica
2.0,LEC,16,Ferrari,8.0,,False,0 days 00:00:59.842000,0 days 00:01:24.586000,0 days 00:00:54.753000,UNKNOWN,,,,8.0,9.0,Finished,2021,GP Belgica,historica
3.0,LEC,16,Ferrari,8.0,,False,0 days 00:00:55.385000,0 days 00:01:27.900000,0 days 00:01:07.960000,UNKNOWN,,,,8.0,9.0,Finished,2021,GP Belgica,historica
1.0,LAT,6,Williams,9.0,0 days 00:03:42.556000,False,,0 days 00:01:27.578000,0 days 00:00:58.139000,WET,,,,9.0,10.0,Finished,2021,GP Belgica,historica
2.0,LAT,6,Williams,9.0,,False,0 days 00:00:58.061000,0 days 00:01:25.074000,0 days 00:00:55.732000,WET,,,,9.0,10.0,Finished,2021,GP Belgica,historica
3.0,LAT,6,Williams,9.0,,False,0 days 00:00:55.110000,0 days 00:01:28.592000,0 days 00:01:06.688000,WET,,,,9.0,10.0,Finished,2021,GP Belgica,historica
1.0,SAI,55,Ferrari,10.0,0 days 00:03:43.237000,False,,0 days 00:01:25.427000,0 days 00:00:58.115000,UNKNOWN,,,,10.0,11.0,Finished,2021,GP Belgica,historica
2.0,SAI,55,Ferrari,10.0,,False,0 days 00:00:58.724000,0 days 00:01:24.409000,0 days 00:00:55.793000,UNKNOWN,,,,10.0,11.0,Finished,2021,GP Belgica,historica
3.0,SAI,55,Ferrari,10.0,,False,0 days 00:00:57.385000,0 days 00:01:26.232000,0 days 00:01:07.481000,UNKNOWN,,,,10.0,11.0,Finished,2021,GP Belgica,historica
1.0,ALO,14,Alpine,11.0,0 days 00:03:47.661000,False,,0 days 00:01:23.599000,0 days 00:01:00.543000,UNKNOWN,,,,11.0,12.0,Finished,2021,GP Belgica,historica
2.0,ALO,14,Alpine,11.0,,False,0 days 00:00:57.174000,0 days 00:01:23.375000,0 days 00:00:57.520000,UNKNOWN,,,,11.0,12.0,Finished,2021,GP Belgica,historica
3.0,ALO,14,Alpine,11.0,,False,0 days 00:00:56.004000,0 days 00:01:27.393000,0 days 00:01:08.220000,UNKNOWN,,,,11.0,12.0,Finished,2021,GP Belgica,historica
1.0,BOT,77,Mercedes,12.0,0 days 00:03:49.485000,False,,0 days 00:01:21.074000,0 days 00:01:01.158000,UNKNOWN,,,,12.0,13.0,Finished,2021,GP Belgica,historica
