LapNumber,Driver,DriverNumber,Team,Position,LapTime,IsPersonalBest,Sector1Time,Sector2Time,Sector3Time,Compound,PitInTime,PitOutTime,PitStopDuration,FinishingPosition,GridPosition,FinalStatus,Season,RaceName,RaceType
1.0,VAN,2,McLaren,13.0,0 days 00:01:33.076000,False,,0 days 00:00:40.416000,0 days 00:00:22.365000,,,,,14.0,12.0,+1 Lap,2018,GP Monaco,historica
1.0,RIC,3,Red Bull Racing,1.0,0 days 00:01:22.199000,False,,0 days 00:00:36.597000,0 days 00:00:20.954000,,,,,1.0,1.0,Finished,2018,GP Monaco,historica
1.0,VET,5,Ferrari,2.0,0 days 00:01:23.334000,False,,0 days 00:00:36.693000,0 days 00:00:21.161000,,,,,2.0,2.0,Finished,2018,GP Monaco,historica
1.0,RAI,7,Ferrari,4.0,0 days 00:01:25.237000,False,,0 days 00:00:37.351000,0 days 00:00:21.280000,,,,,4.0,4.0,Finished,2018,GP Monaco,historica
1.0,GRO,8,Haas F1 Team,20.0,0 days 00:01:37.066000,False,,0 days 00:00:42.113000,0 days 00:00:22.393000,,,,,15.0,18.0,+1 Lap,2018,GP Monaco,historica
1.0,ERI,9,Sauber,17.0,0 days 00:01:35.152000,False,,0 days 00:00:41.532000,0 days 00:00:22.257000,,,,,11.0,16.0,Finished,2018,GP Monaco,historica
1.0,GAS,10,Toro Rosso,10.0,0 days 00:01:31.614000,False,,0 days 00:00:39.994000,0 days 00:00:22.473000,,,,,7.0,10.0,Finished,2018,GP Monaco,historica
1.0,PER,11,Force India,9.0,0 days 00:01:30.842000,False,,0 days 00:00:39.752000,0 days 00:00:22.177000,,,,,12.0,9.0,Finished,2018,GP Monaco,historica
1.0,ALO,14,McLaren,7.0,0 days 00:01:28.656000,False,,0 days 00:00:39.109000,0 days 00:00:21.550000,,,,,20.0,7.0,Gearbox,2018,GP Monaco,historica
1.0,LEC,16,Sauber,14.0,0 days 00:01:33.625000,False,,0 days 00:00:40.983000,0 days 00:00:22.196000,,,,,18.0,14.0,Collision,2018,GP Monaco,historica
1.0,STR,18,Williams,16.0,0 days 00:01:34.641000,False,,0 days 00:00:40.738000,0 days 00:00:22.368000,,,,,17.0,17.0,+2 Laps,2018,GP Monaco,historica
1.0,MAG,20,Haas F1 Team,19.0,0 days 00:01:36.698000,False,,0 days 00:00:41.761000,0 days 00:00:22.682000,,,,,13.0,19.0,Finished,2018,GP Monaco,historica
1.0,HUL,27,Renault,11.0,0 days 00:01:31.804000,False,,0 days 00:00:40.151000,0 days 00:00:22.090000,,,,,8.0,11.0,Finished,2018,GP Monaco,historica
1.0,HAR,28,Toro Rosso,15.0,0 days 00:01:34.231000,False,,0 days 00:00:41.137000,0 days 00:00:22.383000,,,,,19.0,15.0,Collision,2018,GP Monaco,historica
1.0,OCO,31,Force India,6.0,0 days 00:01:27.102000,False,,0 days 00:00:38.216000,0 days 00:00:21.291000,,,,,6.0,6.0,Finished,2018,GP Monaco,historica
1.0,VER,33,Red Bull Racing,18.0,0 days 00:01:35.690000,False,,0 days 00:00:41.523000,0 days 00:00:22.287000,,,,,9.0,20.0,Finished,2018,GP Monaco,historica
1.0,SIR,35,Williams,12.0,0 days 00:01:32.457000,False,,0 days 00:00:40.311000,0 days 00:00:22.229000,,,,,16.0,13.0,+1 Lap,2018,GP Monaco,historica
1.0,HAM,44,Mercedes,3.0,0 days 00:01:24.315000,False,,0 days 00:00:36.944000,0 days 00:00:21.219000,,,,,3.0,3.0,Finished,2018,GP Monaco,historica
