LapNumber,Driver,DriverNumber,Team,Position,LapTime,IsPersonalBest,Sector1Time,Sector2Time,Sector3Time,Compound,PitInTime,PitOutTime,PitStopDuration,FinishingPosition,GridPosition,FinalStatus,Season,RaceName,RaceType
1.0,VAN,2,McLaren,20.0,0 days 00:01:27.183000,False,,0 days 00:00:43.038000,0 days 00:00:17.240000,SOFT,,,,14.0,20.0,+1 Lap,2018,GP São Paulo,historica
1.0,RIC,3,Red Bull Racing,10.0,0 days 00:01:22.981000,False,,0 days 00:00:40.564000,0 days 00:00:16.825000,SUPERSOFT,,,,4.0,11.0,Finished,2018,GP São Paulo,historica
1.0,VET,5,Ferrari,3.0,0 days 00:01:19.092000,False,,0 days 00:00:38.801000,0 days 00:00:16.827000,SOFT,,,,6.0,2.0,Finished,2018,GP São Paulo,historica
1.0,RAI,7,Ferrari,4.0,0 days 00:01:19.536000,False,,0 days 00:00:38.942000,0 days 00:00:16.757000,SOFT,,,,3.0,4.0,Finished,2018,GP São Paulo,historica
1.0,GRO,8,Haas F1 Team,7.0,0 days 00:01:21.535000,False,,0 days 00:00:40.066000,0 days 00:00:17.062000,SUPERSOFT,,,,8.0,8.0,Finished,2018,GP São Paulo,historica
1.0,ERI,9,Sauber,9.0,0 days 00:01:22.707000,False,,0 days 00:00:40.789000,0 days 00:00:16.819000,SUPERSOFT,,,,20.0,6.0,Collision,2018,GP São Paulo,historica
1.0,GAS,10,Toro Rosso,8.0,0 days 00:01:22.148000,False,,0 days 00:00:39.787000,0 days 00:00:17.013000,SUPERSOFT,,,,13.0,9.0,+1 Lap,2018,GP São Paulo,historica
1.0,PER,11,Racing Point,12.0,0 days 00:01:24.014000,False,,0 days 00:00:41.488000,0 days 00:00:17.016000,SUPERSOFT,,,,10.0,12.0,+1 Lap,2018,GP São Paulo,historica
1.0,ALO,14,McLaren,16.0,0 days 00:01:25.634000,False,,0 days 00:00:42.335000,0 days 00:00:17.201000,SOFT,,,,17.0,17.0,+2 Laps,2018,GP São Paulo,historica
1.0,LEC,16,Sauber,6.0,0 days 00:01:20.854000,False,,0 days 00:00:39.761000,0 days 00:00:16.827000,SUPERSOFT,,,,7.0,7.0,Finished,2018,GP São Paulo,historica
1.0,STR,18,Williams,18.0,0 days 00:01:26.323000,False,,0 days 00:00:42.687000,0 days 00:00:17.047000,SOFT,,,,18.0,19.0,+2 Laps,2018,GP São Paulo,historica
1.0,MAG,20,Haas F1 Team,11.0,0 days 00:01:23.506000,False,,0 days 00:00:41.393000,0 days 00:00:16.947000,SOFT,,,,9.0,10.0,Finished,2018,GP São Paulo,historica
